name,ticker,sentiment_score,_match_key,reglementary_score,dependance_score,recommandation
Oracle Corporation,ORCL,0.6250625,symbol,Moderate,Moderate,"Article 22 may impact Oracle's energy-intensive cloud and data center operations in China. Oracle has manufacturing and operations in China. Enhance energy efficiency, explore renewable energy sourcing."
"Visa Inc,",V,0.625,symbol,Low,Low,"As a payments technology company, Visa's exposure to the energy law is relatively low. Visa has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Lilly (Eli),LLY,0.625,symbol,Moderate,Moderate,"Article 22 may impact Lilly's energy-intensive pharmaceutical manufacturing and operations in China. Lilly has manufacturing and operations in China. Improve energy efficiency, explore renewable energy sourcing."
Mastercard,MA,0.38175,symbol,Low,Low,"As a payments technology company, Mastercard's exposure to the energy law is relatively low. Mastercard has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Netflix,NFLX,0.625,symbol,Low,Low,"As a streaming entertainment provider, Netflix's exposure to the energy law is relatively low. Netflix has limited direct operations in China. Monitor potential indirect impacts on content delivery and data centers."
ExxonMobil,XOM,0.625,symbol,High,High,"Articles 22 and 23 promoting renewable energy and setting consumption targets may significantly impact Exxon Mobil's oil and gas operations in China. Exxon Mobil has significant upstream and downstream operations in China. Accelerate transition to cleaner energy sources, improve energy efficiency."
Costco,COST,0.625,symbol,Moderate,High,"Article 22 may impact Costco's energy-intensive retail operations and supply chain in China. Costco has significant sourcing and operations in China and other Asian countries. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Palantir Technologies,PLTR,0.62135,symbol,Low,Low,"As a software company, Palantir's exposure to the energy law is relatively low. Palantir has limited direct operations in China. Monitor potential indirect impacts on data center operations."
Johnson & Johnson,JNJ,0.47175,symbol,Moderate,Moderate,"Article 22 may impact Johnson & Johnson's energy-intensive pharmaceutical and medical device manufacturing and operations in China. Johnson & Johnson has manufacturing and operations in China. Improve energy efficiency, explore renewable energy sourcing."
Home Depot (The),HD,0.5869,symbol,Moderate,High,"Article 22 may impact Home Depot's energy-intensive retail operations and supply chain in China. Home Depot has significant sourcing from China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
AbbVie,ABBV,0.625,symbol,Moderate,Moderate,"Article 22 may impact AbbVie's energy-intensive pharmaceutical manufacturing and operations in China. AbbVie has manufacturing and operations in China. Improve energy efficiency, explore renewable energy sourcing."
Procter & Gamble,PG,0.625,symbol,Moderate,High,"Article 22 may impact Procter & Gamble's energy-intensive manufacturing and operations in China. Procter & Gamble has significant sourcing and operations in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Bank of America,BAC,0.0266124999999999,symbol,Low,Low,"As a financial services company, Bank of America's exposure to the energy law is relatively low. Bank of America has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Chevron Corporation,CVX,0.625,symbol,High,High,"Articles 22 and 23 promoting renewable energy and setting consumption targets may significantly impact Chevron's oil and gas operations in China. Chevron has significant upstream and downstream operations in China. Accelerate transition to cleaner energy sources, improve energy efficiency."
Coca-Cola Company (The),KO,0.0266124999999999,symbol,Moderate,High,"Article 22 may impact Coca-Cola's energy-intensive manufacturing and operations in China. Coca-Cola has significant bottling, distribution, and operations in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Advanced Micro Devices,AMD,0.624825,symbol,Low,High,"As a semiconductor company, AMD's exposure to the energy law is relatively low. AMD relies heavily on suppliers and manufacturing in China, Taiwan, and Singapore. Monitor supply chain risks and diversify if necessary."
GE Aerospace,GE,0.0082625,symbol,Moderate,High,"Article 22 may impact GE's energy-intensive manufacturing and operations in China, particularly for power generation equipment. GE has significant manufacturing and supply chain exposure in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
T-Mobile US,TMUS,0.625,symbol,Low,Moderate,"As a telecommunications company, T-Mobile's exposure to the energy law is relatively low. T-Mobile has suppliers in China and South Korea for network equipment and handsets. Monitor supply chain risks and diversify if necessary."
Cisco,CSCO,0.625,symbol,Moderate,High,"Article 22 may impact Cisco's energy-intensive networking and data center operations in China. Cisco relies heavily on contract manufacturers and suppliers in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Philip Morris International,PM,0.625,symbol,Moderate,High,"Article 22 may impact Philip Morris' energy-intensive manufacturing and operations in China. Philip Morris has significant sourcing and operations in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Wells Fargo,WFC,0.625,symbol,Low,Low,"As a financial services company, Wells Fargo's exposure to the energy law is relatively low. Wells Fargo has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
UnitedHealth Group,UNH,0.6361125,symbol,Low,Low,"As a managed healthcare company, UnitedHealth's exposure to the energy law is relatively low. UnitedHealth has limited direct operations in China. Monitor potential indirect impacts on healthcare services and supply chain."
Morgan Stanley,MS,0.4072,symbol,Low,Low,"As a financial services company, Morgan Stanley's exposure to the energy law is relatively low. Morgan Stanley has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Goldman Sachs,GS,0.625,symbol,Low,Low,"As a financial services company, Goldman Sachs' exposure to the energy law is relatively low. Goldman Sachs has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Abbott Laboratories,ABT,0.625,symbol,Moderate,Moderate,"Article 22 may impact Abbott's energy-intensive pharmaceutical and medical device manufacturing and operations in China. Abbott has manufacturing and operations in China. Improve energy efficiency, explore renewable energy sourcing."
Linde plc,LIN,0.625,symbol,High,High,"Articles 22 and 23 promoting renewable energy and setting consumption targets may significantly impact Linde's energy-intensive industrial gas production and operations in China. Linde has significant manufacturing and operations in China. Accelerate adoption of renewable energy, improve energy efficiency."
Salesforce,CRM,0.2019625,symbol,Moderate,Moderate,"Article 22 may impact Salesforce's energy-intensive cloud and data center operations in China. Salesforce has suppliers and operations in China. Enhance energy efficiency, explore renewable energy sourcing."
IBM,IBM,0.625,symbol,Moderate,Moderate,"Article 22 may impact IBM's energy-intensive cloud and data center operations in China. IBM has suppliers and operations in China. Enhance energy efficiency, explore renewable energy sourcing."
McDonald's,MCD,0.625,symbol,Moderate,High,"Article 22 may impact McDonald's energy-intensive restaurant operations and supply chain in China. McDonald's has significant sourcing and operations in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
American Express,AXP,0.370925,symbol,Low,Low,"As a financial services company, American Express' exposure to the energy law is relatively low. American Express has limited direct operations in China. Monitor potential indirect impacts on clients and investments."
Walt Disney Company (The),DIS,0.625,symbol,Low,Low,"As a media and entertainment company, Disney's exposure to the energy law is relatively low. Disney has limited direct operations in China. Monitor potential indirect impacts on content delivery and theme parks."
RTX Corporation,RTX,0.657825,symbol,Moderate,High,"Article 22 may impact Raytheon's energy-intensive aerospace and defense manufacturing and operations in China. Raytheon has significant manufacturing and supply chain exposure in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
"Merck & Co,",MRK,0.6251625000000001,symbol,Moderate,Moderate,"Article 22 may impact Merck's energy-intensive pharmaceutical manufacturing and operations in China. Merck has manufacturing and operations in China. Improve energy efficiency, explore renewable energy sourcing."
AT&T,T,0.56945,symbol,Low,Moderate,"As a telecommunications company, AT&T's exposure to the energy law is relatively low. AT&T has suppliers in China for network equipment and devices. Monitor supply chain risks and diversify if necessary."
PepsiCo,PEP,0.3762375,symbol,Moderate,High,"Article 22 may impact PepsiCo's energy-intensive manufacturing and operations in China. PepsiCo has significant sourcing and operations in China. Improve energy efficiency, explore renewable energy sourcing, diversify supply chain."
Intuit,INTU,0.625,symbol,Low,Low,"As a software company, Intuit's exposure to the energy law is relatively low. Intuit has limited direct operations in China. Monitor potential indirect impacts on data center operations."
"Caterpillar Inc,",CAT,0.2019625,symbol,High,High,"Articles 22 and 23 promoting renewable energy and setting consumption targets may significantly impact Caterpillar's energy-intensive manufacturing and operations in China. Caterpillar has significant manufacturing and supply chain exposure in China. Accelerate adoption of renewable energy, improve energy efficiency, diversify supply chain."
Uber,UBER,0.625,symbol,Moderate,Moderate,"Article 22 may impact Uber's energy-intensive operations and data centers in China. Uber has operations and suppliers in China. Improve energy efficiency, explore renewable energy sourcing."
